maint_cat,b,dirtiness,a
I,0.69,very_clean,0.038
I,0.69,clean,0.071
I,0.69,medium,0.111
I,0.69,dirty,0.162
I,0.69,very_dirty,0.301
II,0.62,very_clean,0.033
II,0.62,clean,0.068
II,0.62,medium,0.102
II,0.62,dirty,0.147
II,0.62,very_dirty,0.188
III,0.7,very_clean,0.079
III,0.7,clean,0.106
III,0.7,medium,0.143
III,0.7,dirty,0.184
III,0.7,very_dirty,0.236
IV,0.72,very_clean,0.07
IV,0.72,clean,0.131
IV,0.72,medium,0.216
IV,0.72,dirty,0.314
IV,0.72,very_dirty,0.452
V,0.53,very_clean,0.078
V,0.53,clean,0.128
V,0.53,medium,0.19
V,0.53,dirty,0.249
V,0.53,very_dirty,0.321
VI,0.88,very_clean,0.076
VI,0.88,clean,0.145
VI,0.88,medium,0.218
VI,0.88,dirty,0.284
VI,0.88,very_dirty,0.396
