ltype,expect_dirt_depr,rcr,rsdd
direct,10,1,0.98
direct,10,2,0.98
direct,10,3,0.98
direct,10,4,0.97
direct,10,5,0.97
direct,10,6,0.97
direct,10,7,0.97
direct,10,8,0.96
direct,10,9,0.96
direct,10,10,0.96
direct,20,1,0.96
direct,20,2,0.96
direct,20,3,0.95
direct,20,4,0.95
direct,20,5,0.95
direct,20,6,0.94
direct,20,7,0.94
direct,20,8,0.93
direct,20,9,0.92
direct,20,10,0.92
direct,30,1,0.94
direct,30,2,0.94
direct,30,3,0.93
direct,30,4,0.92
direct,30,5,0.91
direct,30,6,0.91
direct,30,7,0.9
direct,30,8,0.89
direct,30,9,0.88
direct,30,10,0.87
direct,40,1,0.92
direct,40,2,0.92
direct,40,3,0.9
direct,40,4,0.9
direct,40,5,0.89
direct,40,6,0.88
direct,40,7,0.87
direct,40,8,0.86
direct,40,9,0.85
direct,40,10,0.83
direct-indirect,10,1,0.94
direct-indirect,10,2,0.94
direct-indirect,10,3,0.94
direct-indirect,10,4,0.94
direct-indirect,10,5,0.93
direct-indirect,10,6,0.93
direct-indirect,10,7,0.93
direct-indirect,10,8,0.93
direct-indirect,10,9,0.93
direct-indirect,10,10,0.93
direct-indirect,20,1,0.87
direct-indirect,20,2,0.87
direct-indirect,20,3,0.86
direct-indirect,20,4,0.86
direct-indirect,20,5,0.86
direct-indirect,20,6,0.85
direct-indirect,20,7,0.84
direct-indirect,20,8,0.84
direct-indirect,20,9,0.84
direct-indirect,20,10,0.84
direct-indirect,30,1,0.8
direct-indirect,30,2,0.8
direct-indirect,30,3,0.79
direct-indirect,30,4,0.79
direct-indirect,30,5,0.78
direct-indirect,30,6,0.78
direct-indirect,30,7,0.77
direct-indirect,30,8,0.76
direct-indirect,30,9,0.76
direct-indirect,30,10,0.75
direct-indirect,40,1,0.76
direct-indirect,40,2,0.75
direct-indirect,40,3,0.74
direct-indirect,40,4,0.73
direct-indirect,40,5,0.72
direct-indirect,40,6,0.71
direct-indirect,40,7,0.7
direct-indirect,40,8,0.69
direct-indirect,40,9,0.68
direct-indirect,40,10,0.67
indirect,10,1,0.9
indirect,10,2,0.9
indirect,10,3,0.9
indirect,10,4,0.89
indirect,10,5,0.89
indirect,10,6,0.89
indirect,10,7,0.89
indirect,10,8,0.88
indirect,10,9,0.88
indirect,10,10,0.88
indirect,20,1,0.8
indirect,20,2,0.8
indirect,20,3,0.79
indirect,20,4,0.78
indirect,20,5,0.78
indirect,20,6,0.77
indirect,20,7,0.76
indirect,20,8,0.76
indirect,20,9,0.75
indirect,20,10,0.75
indirect,30,1,0.7
indirect,30,2,0.69
indirect,30,3,0.68
indirect,30,4,0.67
indirect,30,5,0.66
indirect,30,6,0.66
indirect,30,7,0.65
indirect,30,8,0.64
indirect,30,9,0.63
indirect,30,10,0.62
indirect,40,1,0.6
indirect,40,2,0.59
indirect,40,3,0.58
indirect,40,4,0.56
indirect,40,5,0.55
indirect,40,6,0.54
indirect,40,7,0.53
indirect,40,8,0.52
indirect,40,9,0.51
indirect,40,10,0.5
semi-direct,10,1,0.97
semi-direct,10,2,0.96
semi-direct,10,3,0.96
semi-direct,10,4,0.95
semi-direct,10,5,0.94
semi-direct,10,6,0.93
semi-direct,10,7,0.93
semi-direct,10,8,0.93
semi-direct,10,9,0.93
semi-direct,10,10,0.93
semi-direct,20,1,0.92
semi-direct,20,2,0.92
semi-direct,20,3,0.91
semi-direct,20,4,0.9
semi-direct,20,5,0.9
semi-direct,20,6,0.89
semi-direct,20,7,0.88
semi-direct,20,8,0.87
semi-direct,20,9,0.87
semi-direct,20,10,0.86
semi-direct,30,1,0.89
semi-direct,30,2,0.88
semi-direct,30,3,0.87
semi-direct,30,4,0.85
semi-direct,30,5,0.84
semi-direct,30,6,0.83
semi-direct,30,7,0.82
semi-direct,30,8,0.81
semi-direct,30,9,0.8
semi-direct,30,10,0.79
semi-direct,40,1,0.84
semi-direct,40,2,0.83
semi-direct,40,3,0.82
semi-direct,40,4,0.8
semi-direct,40,5,0.79
semi-direct,40,6,0.78
semi-direct,40,7,0.77
semi-direct,40,8,0.75
semi-direct,40,9,0.74
semi-direct,40,10,0.72
semi-indirect,10,1,0.94
semi-indirect,10,2,0.94
semi-indirect,10,3,0.94
semi-indirect,10,4,0.94
semi-indirect,10,5,0.93
semi-indirect,10,6,0.93
semi-indirect,10,7,0.93
semi-indirect,10,8,0.93
semi-indirect,10,9,0.93
semi-indirect,10,10,0.93
semi-indirect,20,1,0.87
semi-indirect,20,2,0.87
semi-indirect,20,3,0.86
semi-indirect,20,4,0.86
semi-indirect,20,5,0.86
semi-indirect,20,6,0.85
semi-indirect,20,7,0.84
semi-indirect,20,8,0.84
semi-indirect,20,9,0.84
semi-indirect,20,10,0.83
semi-indirect,30,1,0.8
semi-indirect,30,2,0.79
semi-indirect,30,3,0.7
semi-indirect,30,4,0.78
semi-indirect,30,5,0.77
semi-indirect,30,6,0.76
semi-indirect,30,7,0.76
semi-indirect,30,8,0.76
semi-indirect,30,9,0.75
semi-indirect,30,10,0.75
semi-indirect,40,1,0.73
semi-indirect,40,2,0.72
semi-indirect,40,3,0.71
semi-indirect,40,4,0.7
semi-indirect,40,5,0.69
semi-indirect,40,6,0.68
semi-indirect,40,7,0.68
semi-indirect,40,8,0.68
semi-indirect,40,9,0.67
semi-indirect,40,10,0.67
